IRONS
KBS $-Taper Lt. .355 Chrome,FS0062 ,4B2H,Steel,S,100,2.5,low/mid,med/soft,mid/high,$69.95,113
KBS $-Taper Lt. .355 Black PVD,FS0064,4B2H,Steel,S,100,2.5,low/mid,med/soft,mid/high,$69.95,Web
KBS $-Taper Lt. .370 Chrome,FS0061,4B2H,Steel,S,115,2.5,low/mid,med/soft,mid/high,$69.95,113
KBS $-Taper Lt. .370 Black PVD,FS0063,4B2H,Steel,S,115,2.5,low/mid,med/soft,mid/high,$69.95,Web
KBS TGI Graphite  .355,FS0058,4B2H,Graphite,S,80,2.0,mid,med/firm,mid/high,$64.95,112
KBS TGI Graphite 80 .370,FS0054,4B2H,Graphite,S,80,2.0,mid,med/firm,mid,$54.95,112
KBS Tour .370,FS0019,4B2H,Steel,S,130,2.5,mid/high,med/stiff,mid,$34.95,114
KBS Tour Lite 100 .355,FS0080,4B2H,Steel,S,100,2.75,mid,medium,mid/high,$39.95,114
KBS Tour Lite 105 .370,FS0079,4B2H,Steel,S,105,2.5,low/mid,soft/med,mid/high,$39.95,114
N.S Pro 750GH neo .355,NP0030,4B2H,Steel,S,78,2.4,mid,soft,high,$34.00,Web
N.S. Pro 850GH neo .355,NP0029,4B2H,Steel,S,87,2.0,mid,medium,high,$32.50,118
N.S. Pro 950GH neo .355,NP0027,4B2H,Steel,S,98,1.7,high,medium,high,$32.50,118
N.S. Pro 950GH neo .370,NP0026,4B2H,Steel,S,98,1.7,high,medium,high,$32.50,118
N.S. Pro 950GH,NP0011 / NP0012,4B2H,Steel,S,98,1.9,mid,soft,mid/high,$25.50,118
N.S. Pro 1150GH,NP0002 / NP0003,4B2H,Steel,S,116,1.7,mid,med/firm,mid,$25.50,118
N.S. Pro Modus³ Tour 105,NP0021 / NP0016,4B2H,Steel,S,106.5,1.7,high,med/firm,mid,$38.00,117
N.S. Pro Modus³ Tour 130,NP0009 / NP0010,4B2H,Steel,S,124,1.8,mid,soft,mid,$38.00,116
N.S. Pro 8950GH,NP0004 / NP0005,4B2H,Steel,S,103,1.7,mid,med/soft,mid/high,$25.50,118
Project X IO .355,TT0168,4B2H,Steel,6.0 S,110,1.9,mid,medium,mid,$54.99,105
Recoil Dart 90 .355,US0128,4B2H,Graphite,F4-S,90,2.7,mid,med/firm,mid,$60.00,83
Recoil Dart 105 .355,US0129,4B2H,Graphite,F4-S,106,2.0,mid,med/firm,mid,$60.00,83
Score LT .370,TT0100,4B2H,Steel,S,117,2.5,low/mid,med/soft,high,$12.99,109
SteelFiber 70cw .355,AT0020IE,4B2H,Graphite,S,70,3.0,low/mid,medium,mid/high,$60.00,76
SteelFiber 70 .370,AT0018,4B2H,Graphite,S,74,3.0,low/mid,medium,mid/high,$55.00,76
SteelFiber fc80 .370,AT0034I,4B2H,Graphite,F4-S,84,2.8,variable,variable,variable,$58.00,77
SteelFiber 80cw .355,AT0019IE,4B2H,Graphite,S,85,2.9,mid,medium,mid,$60.00,76
SteelFiber 80 .370,AT0004,4B2H,Graphite,S,85,2.8,mid ,medium,mid ,$55.00,76
Steelfiber fc90cw .355,AT0030I,4B2H,Graphite,F4-S,90,2.9,variable,variable,variable,$63.00,77
Steelfiber fc90 .370,AT0029I,4B2H,Graphite,F4-S,95,2.8,variable,variable,variable,$58.00,77
Aldila NV 75 .370,AL0090,4B2M,Graphite,S,73,3.9,mid,medium,mid,$35.00,87
Aldila NV 85 .370,AL0090,4B2M,Graphite,S,88,3.5,mid,medium,mid,$35.00,87
Aldila NV 95 .370,AL0090,4B2M,Graphite,S,97,3.1,mid,medium,mid,$35.00,87
Apollo Acculite 85 .370,AP0012,4B2M,Steel,S,96.5,3.0,low,medium,mid/high,$12.99,121
Competition Series,US0045,4B2M,Graphite,S,77,4.7,mid,medium,mid,$25.00,85
Cypher 2.0 .370,TT0212,4B2M,Graphite,6.0 S,79,3.1,low/mid,medium,mid/high,$41.99,102
Fuji Pro 75i .370,FK0085,4B2M,Graphite,S,78,3.0,mid,medium,mid,$45.00,99
Fuji Pro 95i .370,FK0085,4B2M,Graphite,S,95,3.0,mid,medium,mid,$45.00,99
Graftech GT 65,GW0050,4B2M,Graphite,S,67,4.0,mid,medium,mid,$19.99,73
Graftech Lite,GW1006,4B2M,Graphite,S,73,3.5,mid,medium,mid,$14.99,73
G-Tech,GD0012,4B2M,Graphite,S,80,3.5,mid,medium,mid,$24.99,101
KBS Max Graphite .370,FS0060,4B2M,Graphite,S,85,3.0,mid,med/soft,mid/high,$49.95,111
Kuro Kage Blk 70 2nd Gen,MR0046,4B2M,Graphite,S,75,3.5,mid,med/firm,mid,$24.99,95
Mitsubishi C6 Black 80 .370,MR0100,4B2M,Graphite,S,83,3.9,mid,med/soft,mid,$45.00,93
Mitsubishi MMT 80 .370,MR0090,4B2M,Graphite,S,86,4.1,mid,med/firm,mid,$60.00,92
Mitsubishi MMT 90 .370,MR0090,4B2M,Graphite,S,98,4.0,mid,med/firm,mid,$60.00,92
MPF Pro Series .370,MA0292,4B2M,Graphite,S,85,3.3,mid,med/firm,mid/high,$21.99,72
ProLaunch Blue 80,TT0135,4B2M,Graphite,S,82,3.0,low,soft,high,$34.99,79
Rapport Core Blue Ir .370,VA0007,4B2M,Graphite,S,85,3.4,mid/high,med/firm,mid,$34.99,75
Recoil Dart 65 .370,US0124,4B2M,Graphite,F4-S,68,4.9,low,medium,mid,$50.00,83
Recoil Dart 75 .370,US0124,4B2M,Graphite,F4-S,78,3.9,low/mid,med/firm,mid,$50.00,83
Recoil 680 SC .370,US0110,4B2M,Graphite,F4-S,82,3.8,mid/high,medium,mid,$35.00,84
Recoil 780 ES SW IP .370,US0107,4B2M,Graphite,F4-S,87,3.5,mid,medium,mid/high,$45.00,84
SteelFiber fc70 .370,AT0033I,4B2M,Graphite,F4-S,74,3.2,variable,variable,variable,$58.00,77
TT AMT Black .355,TT0125,4B2M,Steel,S,105,2.5,low/mid,med/soft,mid/high,$39.99,108
